S10.G01.00.001.001,'000000001'
S70.G10.00.003.002,'00022'
S70.G10.00.003.003,'Raison sociale'
S70.G10.00.004.006,'138 rue de Paris'
S70.G10.00.004.010,'75014'
S70.G10.00.004.012,'Localité'
S70.G10.00.004.007,'75014'
S70.G10.15.001,'00000001'
S70.G10.15.002,'19800.00'
S70.G05.00.001,'00023'
S70.G05.00.002,'31122016'
S70.G10.00.001,'Qualité'
S70.G10.00.003.001,'000000005'
S70.G10.00.003.002,'00024'
S70.G10.00.003.003,'Raison sociale'
S70.G10.00.004.006,'126 rue de Paris'
S70.G10.00.004.010,'75013'
S70.G10.00.004.012,'Localité'
S70.G10.00.004.007,'75013'
S70.G10.15.001,'01'
S70.G10.15.002,'16200.00'
S70.G05.00.001,'00025'
S70.G05.00.002,'31122016'
S70.G10.00.001,'Qualité'
S70.G10.00.003.001,'000000006'
S70.G10.00.003.002,'00026'
S70.G10.00.003.003,'Raison sociale'
S70.G10.00.004.006,'102 rue de Paris'
S70.G10.00.004.007,'75010'
S70.G10.00.004.010,'75010'
S70.G10.00.004.012,'Localité'
S70.G10.15.001,'01'
S70.G10.15.002,'13370.40'
S70.G05.00.001,'00027'
S70.G05.00.002,'31122016'
S70.G10.00.001,'Qualité'
S70.G10.00.003.001,'000000007'
S70.G10.00.003.002,'00028'
S70.G10.00.003.003,'Raison sociale'
S70.G10.00.004.006,'82 rue de Paris'
S70.G10.00.004.007,'75008'
S70.G10.00.004.010,'75008'
S70.G10.00.004.012,'Localité'
S70.G10.15.001,'01'
S70.G10.15.002,'12000.00'
S70.G05.00.001,'00029'
S70.G05.00.002,'31122016'
S70.G10.00.001,'Qualité'
S70.G10.00.003.001,'000000008'
S70.G10.00.003.002,'00030'
S70.G10.00.003.003,'Raison sociale'
S70.G10.00.004.006,'131 rue de Paris'
S70.G10.00.004.007,'75013'
S70.G10.00.004.010,'75013'
S70.G10.00.004.012,'Localité'
S70.G10.15.001,'01'
S70.G10.15.002,'9600.00'
S70.G05.00.001,'00031'
S70.G05.00.002,'31122016'
S70.G10.00.001,'Qualité'
S70.G10.00.003.001,'000000009'
S70.G10.00.003.002,'00032'
S70.G10.00.003.003,'Raison sociale'
S70.G10.00.004.006,'106 rue de Paris'
S70.G10.00.004.007,'75011'
S70.G10.00.004.010,'75011'
S70.G10.00.004.012,'Localité'
S70.G10.15.001,'01'
S70.G10.15.002,'8820.00'
S70.G05.00.001,'00033'
S70.G05.00.002,'31122016'
S70.G10.00.001,'Qualité'
S70.G10.00.003.001,'000000010'
S70.G10.00.003.002,'00034'
S70.G10.00.003.003,'Raison sociale'
S70.G10.00.004.006,'157 rue de Paris'
S70.G10.00.004.007,'75016'
S70.G10.00.004.010,'75016'
S70.G10.00.004.012,'Localité'
S70.G10.15.001,'01'
S70.G10.15.002,'7980.00'
S70.G05.00.001,'00035'
S70.G05.00.002,'31122016'
S70.G10.00.001,'Qualité'
S70.G10.00.003.001,'000000011'
S70.G10.00.003.002,'00036'
S70.G10.00.003.003,'Raison sociale'
S70.G10.00.004.006,'27 rue de Paris'
S70.G10.00.004.007,'75002'
S70.G10.00.004.010,'75002'
S70.G10.00.004.012,'Localité'
S70.G10.15.001,'01'
S70.G10.15.002,'6000.00'
S70.G05.00.001,'00037'
S70.G05.00.002,'31122016'
S70.G10.00.001,'Qualité'
S70.G10.00.003.001,'000000012'
S70.G10.00.003.002,'00038'
S70.G10.00.003.003,'Raison sociale'
S70.G10.00.004.006,'129 rue de Paris'
S70.G10.00.004.007,'75013'
S70.G10.00.004.010,'75013'
S70.G10.00.004.012,'Localité'
S70.G10.15.001,'01'
S70.G10.15.002,'4800.00'
S70.G05.00.001,'00039'
S70.G05.00.002,'31122016'
S70.G10.00.001,'Qualité'
S70.G10.00.003.001,'000000013'
S70.G10.00.003.002,'00040'
S70.G10.00.003.003,'Raison sociale'
S70.G10.00.004.006,'131 rue de Paris'
S70.G10.00.004.007,'75013'
S70.G10.00.004.010,'75013'
S70.G10.00.004.012,'Localité'
S70.G10.15.001,'01'
S70.G10.15.002,'3840.00'
S70.G05.00.001,'00041'
S70.G05.00.002,'31122016'
S70.G10.00.001,'Qualité'
S70.G10.00.003.001,'000000014'
S70.G10.00.003.002,'00042'
S70.G10.00.003.003,'Raison sociale'
S70.G10.00.004.006,'129 rue de Paris'
S70.G10.00.004.007,'75013'
S70.G10.00.004.010,'75013'
S70.G10.00.004.012,'Localité'
S70.G10.15.001,'01'
S70.G10.15.002,'3600.00'
S70.G05.00.001,'00043'
S70.G05.00.002,'31122016'
S70.G10.00.001,'Qualité'
S70.G10.00.002.001,'SCHUSTER'
S70.G10.00.002.002,'Gerhard'
S70.G10.00.004.006,'9 rue de Paris'
S70.G10.00.004.007,'75000'
S70.G10.00.004.010,'75000'
S70.G10.00.004.012,'Localité'
S70.G10.10.001,'0000002'
S70.G10.10.002,'2000.00'
S70.G10.15.001,'01'
S70.G10.15.002,'1449.27'
S70.G05.00.001,'00044'
S70.G05.00.002,'31122016'
S70.G10.00.001,'Qualité'
S70.G10.00.003.001,'000000015'
S70.G10.00.003.002,'00045'
S70.G10.00.003.003,'Raison sociale'
S70.G10.00.004.006,'58 rue de Paris'
S70.G10.00.004.007,'75006'
S70.G10.00.004.010,'75006'
S70.G10.00.004.012,'Localité'
S70.G10.15.001,'01'
S70.G10.15.002,'3240.00'
S70.G05.00.001,'00046'
S70.G05.00.002,'31122016'
S70.G10.00.001,'Qualité'
S70.G10.00.003.001,'000000016'
S70.G10.00.003.002,'00047'
S70.G10.00.003.003,'Raison sociale'
S70.G10.00.004.006,'13 rue de Paris'
S70.G10.00.004.007,'75001'
S70.G10.00.004.010,'75001'
S70.G10.00.004.012,'Localité'
S70.G10.15.001,'01'
S70.G10.15.002,'3000.00'
S70.G05.00.001,'00048'
S70.G05.00.002,'31122016'
S70.G10.00.001,'Qualité'
S70.G10.00.003.001,'000000017'
S70.G10.00.003.002,'00049'
S70.G10.00.003.003,'Raison sociale'
S70.G10.00.004.006,'43 rue de Paris'
S70.G10.00.004.007,'75004'
S70.G10.00.004.010,'75004'
S70.G10.00.004.012,'Localité'
S70.G10.15.001,'01'
S70.G10.15.002,'2400.00'
S70.G05.00.001,'00050'
S70.G05.00.002,'31122016'
S70.G10.00.001,'Qualité'
S70.G10.00.003.001,'000000018'
S70.G10.00.003.002,'00051'
S70.G10.00.003.003,'Raison sociale'
S70.G10.00.004.006,'169 rue de Paris'
S70.G10.00.004.007,'75017'
S70.G10.00.004.010,'75017'
S70.G10.00.004.012,'Localité'
S70.G10.15.001,'01'
S70.G10.15.002,'2040.00'
S70.G05.00.001,'00052'
S70.G05.00.002,'31122016'
S70.G10.00.001,'Qualité'
S70.G10.00.003.001,'000000019'
S70.G10.00.003.002,'00053'
S70.G10.00.003.003,'Raison sociale'
S70.G10.00.004.006,'98 rue de Paris'
S70.G10.00.004.007,'75010'
S70.G10.00.004.010,'75010'
S70.G10.00.004.012,'Localité'
S70.G10.15.001,'01'
S70.G10.15.002,'1872.00'
S70.G05.00.001,'00054'
S70.G05.00.002,'31122016'
S70.G10.00.001,'Qualité'
S70.G10.00.003.001,'000000020'
S70.G10.00.003.002,'00055'
S70.G10.00.003.003,'Raison sociale'
S70.G10.00.004.006,'196 rue de Paris'
S70.G10.00.004.007,'75020'
S70.G10.00.004.010,'75020'
S70.G10.00.004.012,'Localité'
S70.G10.15.001,'01'
S70.G10.15.002,'1800.00'
S70.G05.00.001,'00056'
S70.G05.00.002,'31122016'
S70.G10.00.001,'Qualité'
S70.G10.00.003.001,'000000021'
S70.G10.00.003.002,'00057'
S70.G10.00.003.003,'Raison sociale'
S70.G10.00.004.006,'151 rue de Paris'
S70.G10.00.004.007,'75015'
S70.G10.00.004.010,'75015'
S70.G10.00.004.012,'Localité'
S70.G10.15.001,'01'
S70.G10.15.002,'1680.00'
S70.G05.00.001,'00058'
S70.G05.00.002,'31122016'
S70.G10.00.001,'Qualité'
S70.G10.00.003.001,'000000022'
S70.G10.00.003.002,'00059'
S70.G10.00.003.003,'Raison sociale'
S70.G10.00.004.006,'9 rue de Paris'
S70.G10.00.004.007,'75000'
S70.G10.00.004.010,'75000'
S70.G10.00.004.012,'Localité'
S70.G10.10.001,'02'
S70.G10.10.002,'719.79'
S70.G10.15.001,'01'
S70.G10.15.002,'100.00'
S70.G05.00.001,'00060'
S70.G05.00.002,'31122016'
S70.G10.00.001,'Qualité'
S70.G10.00.003.001,'000000023'
S70.G10.00.003.002,'00061'
S70.G10.00.003.003,'Raison sociale'
S70.G10.00.004.006,'104 rue de Paris'
S70.G10.00.004.007,'75010'
S70.G10.00.004.010,'75010'
S70.G10.00.004.012,'Localité'
S70.G10.15.001,'01'
S70.G10.15.002,'780.00'
S70.G05.00.001,'00062'
S70.G05.00.002,'31122016'
S70.G10.00.001,'Qualité'
S70.G10.00.003.001,'000000024'
S70.G10.00.003.002,'00063'
S70.G10.00.003.003,'Raison sociale'
S70.G10.00.004.006,'119 rue de Paris'
S70.G10.00.004.007,'75012'
S70.G10.00.004.010,'75012'
S70.G10.00.004.012,'Localité'
S70.G10.15.001,'01'
S70.G10.15.002,'650.00'
S80.G01.00.001.002,'00010'
S80.G01.00.002,'Etablissement 00010'
S80.G01.00.003.001,'BP 3248'
S80.G01.00.003.006,'119 rue de Lyon'
S80.G01.00.003.007,'75012'
S80.G01.00.003.009,'Service distribution'
S80.G01.00.003.010,'75012'
S80.G01.00.003.012,'Raison sociale'
S80.G01.00.004.001,'74'
S80.G01.00.005,'02'
S80.G01.00.006,'9411Z'
S80.G62.00.001,'02'
S80.G62.00.003,'02'
S80.G62.00.005,'02'
S80.G62.00.008,'02'
S90.G01.00.001,'45858'
S90.G01.00.002,'1'
